3379, 3430, 3552, 4495, 4551, 4584, 4604, 4670, 4753, 4802, 4871, 4895, 5036, 5089, 5144, 5260, 5314, 5357, 5532, 5623, 
<indx:001	inp/len: S1_-1.0-2-3/20, Same Bits = 000	, Similarity 000.00 %	 3274, 3393, 4039, 4063, 4575, 4884, 5075, 5130, 5271, 5315, 5352, 5402, 5525, 5600, 5685, 5885, 6039, 6074, 6110, 6890, 
<indx:002	inp/len: S1_2-3-5/20, Same Bits = 000	, Similarity 000.00 %	 5101, 5411, 6200, 6687, 6702, 6770, 6894, 6911, 6958, 7013, 7049, 7068, 7082, 7291, 7303, 7329, 7442, 7475, 7514, 8214, 
<indx:003	inp/len: S1_3-5-2/20, Same Bits = 000	, Similarity 000.00 %	 3399, 3439, 3562, 4479, 4566, 4586, 4617, 4653, 4756, 4800, 4853, 4894, 5036, 5084, 5144, 5272, 5312, 5358, 5541, 5608, 
<indx:004	inp/len: S1_5-2-3/20, Same Bits = 000	, Similarity 000.00 %	 3274, 3393, 4039, 4063, 4575, 4884, 5075, 5130, 5271, 5315, 5352, 5402, 5525, 5600, 5685, 5885, 6039, 6074, 6110, 6890, 
<indx:005	inp/len: S2_-1.0-4/20, Same Bits = 000	, Similarity 000.00 %	 4579, 4728, 4886, 5875, 6049, 6221, 6266, 6463, 6667, 6682, 6703, 6897, 6903, 6967, 7020, 7076, 7296, 7347, 7490, 7515, 
<indx:006	inp/len: S2_-1.0-4-6/20, Same Bits = 000	, Similarity 000.00 %	 5458, 6221, 6903, 6967, 7050, 7296, 7314, 7347, 7353, 7449, 7490, 7515, 7549, 7695, 7815, 7895, 8171, 8206, 8300, 8506, 
<indx:007	inp/len: S2_4-6-9/20, Same Bits = 000	, Similarity 000.00 %	 7724, 8930, 9296, 9324, 9420, 9443, 9520, 9542, 9575, 9631, 9737, 9783, 9874, 9978, 10051, 10132, 10212, 10311, 10367, 10942, 
<indx:008	inp/len: S2_6-9-4/20, Same Bits = 000	, Similarity 000.00 %	 4596, 4740, 4898, 5899, 6045, 6215, 6265, 6456, 6660, 6683, 6700, 6892, 6905, 6972, 7008, 7075, 7283, 7339, 7488, 7521, 
<indx:009	inp/len: S2_9-4-6/20, Same Bits = 000	, Similarity 000.00 %	 5458, 6221, 6903, 6967, 7050, 7296, 7314, 7347, 7353, 7449, 7490, 7515, 7549, 7695, 7815, 7895, 8171, 8206, 8300, 8506, 
<indx:010	inp/len: S3_-1.0-7/20, Same Bits = 000	, Similarity 000.00 %	 6912, 6968, 6987, 7019, 7047, 7057, 7077, 7307, 8088, 8161, 8301, 8374, 8745, 9028, 9143, 9400, 9510, 9587, 9625, 9672, 
<indx:011	inp/len: S3_-1.0-7-11/20, Same Bits = 000	, Similarity 000.00 %	 10077, 10202, 10280, 10746, 10946, 10954, 11012, 11097, 11244, 11441, 11749, 11787, 11945, 11965, 12024, 12118, 12157, 12191, 12328, 12350, 
<indx:012	inp/len: S3_7-11-13/20, Same Bits = 000	, Similarity 000.00 %	 11218, 11429, 12081, 12120, 12144, 12166, 12349, 12386, 12643, 12658, 12684, 12702, 12942, 12975, 13023, 13062, 13307, 13375, 13422, 13793, 
<indx:013	inp/len: S3_11-13-7/20, Same Bits = 000	, Similarity 000.00 %	 6901, 6955, 6984, 7004, 7038, 7065, 7097, 7308, 8099, 8153, 8305, 8359, 8738, 9031, 9129, 9421, 9524, 9593, 9639, 9660, 
<indx:014	inp/len: S3_13-7-11/20, Same Bits = 000	, Similarity 000.00 %	 10077, 10202, 10280, 10746, 10946, 10954, 11012, 11097, 11244, 11441, 11749, 11787, 11945, 11965, 12024, 12118, 12157, 12191, 12328, 12350, 
<indx:015	inp/len: S4_-1.0-10/20, Same Bits = 000	, Similarity 000.00 %	 9067, 9101, 9307, 9429, 9518, 9534, 9648, 9778, 9907, 10080, 10137, 10166, 10223, 10281, 10948, 11001, 11041, 11089, 11470, 11948, 
<indx:016	inp/len: S4_-1.0-10-15/20, Same Bits = 000	, Similarity 000.00 %	 11960, 12123, 12656, 12676, 12998, 13267, 13397, 13405, 13674, 13719, 13784, 13868, 14253, 14372, 14420, 14442, 14498, 14662, 14730, 14806, 
<indx:017	inp/len: S4_10-15-20/20, Same Bits = 000	, Similarity 000.00 %	 16397, 16417, 17074, 17389, 17448, 17476, 17548, 17557, 17657, 17738, 17881, 17934, 17985, 18170, 18205, 18459, 18679, 18869, 19128, 19227, 
<indx:018	inp/len: S4_15-20-10/20, Same Bits = 000	, Similarity 000.00 %	 9051, 9122, 9315, 9442, 9505, 9536, 9633, 9799, 9912, 10085, 10130, 10169, 10209, 10290, 10932, 11009, 11033, 11086, 11452, 11941, 
<indx:019	inp/len: S4_20-10-15/20, Same Bits = 000	, Similarity 000.00 %	 11960, 12123, 12656, 12676, 12998, 13267, 13397, 13405, 13674, 13719, 13784, 13868, 14253, 14372, 14420, 14442, 14498, 14662, 14730, 14806, 
<indx:020	inp/len: S5_-1.0-17/20, Same Bits = 000	, Similarity 000.00 %	 13419, 13707, 13792, 13863, 14116, 14298, 14417, 15108, 15244, 15286, 15329, 15440, 15519, 15791, 15865, 16074, 16293, 16644, 16665, 17048, 
<indx:021	inp/len: S5_-1.0-17-19/20, Same Bits = 000	, Similarity 000.00 %	 15783, 15871, 17067, 17154, 17177, 17213, 17335, 17352, 17386, 17426, 17496, 17531, 17572, 17666, 17743, 17880, 17944, 18222, 18342, 18461, 
<indx:022	inp/len: S5_17-19-23/20, Same Bits = 000	, Similarity 000.00 %	 17933, 18454, 19544, 19577, 19663, 19678, 19771, 19794, 19901, 19982, 20041, 20105, 20157, 20316, 20466, 20596, 20754, 20951, 21104, 21194, 
<indx:023	inp/len: S5_19-23-17/20, Same Bits = 000	, Similarity 000.00 %	 13409, 13702, 13779, 13865, 14100, 14282, 14414, 15100, 15237, 15299, 15342, 15443, 15518, 15781, 15863, 16063, 16275, 16641, 16666, 17044, 
<indx:024	inp/len: S5_23-17-19/20, Same Bits = 000	, Similarity 000.00 %	 15783, 15871, 17067, 17154, 17177, 17213, 17335, 17352, 17386, 17426, 17496, 17531, 17572, 17666, 17743, 17880, 17944, 18222, 18342, 18461, 
<indx:025	inp/len: S6_-1.0-21/20, Same Bits = 000	, Similarity 000.00 %	 16204, 16961, 17220, 17659, 17736, 17938, 18068, 18215, 18280, 18464, 18685, 18854, 18902, 18968, 19096, 19143, 19247, 19667, 19681, 19781, 
<indx:026	inp/len: S6_-1.0-21-25/20, Same Bits = 000	, Similarity 000.00 %	 19205, 19668, 19692, 20124, 20319, 20631, 21034, 21179, 21272, 21493, 21618, 21694, 21726, 21836, 21967, 21990, 22094, 22144, 22274, 22371, 
>indx:027	inp/len: S6_21-25-29/20, Same Bits = 020	, Similarity 100.00 %	 22560, 23717, 23877, 23923, 23929, 24060, 24087, 24167, 24262, 24305, 24329, 24449, 24655, 24679, 24714, 24877, 24964, 25201, 25303, 25570, 
<indx:028	inp/len: S6_25-29-21/20, Same Bits = 000	, Similarity 000.00 %	 16211, 16960, 17204, 17674, 17732, 17940, 18061, 18210, 18296, 18456, 18688, 18851, 18915, 18950, 19088, 19138, 19243, 19654, 19677, 19785, 
<indx:029	inp/len: S6_29-21-25/20, Same Bits = 000	, Similarity 000.00 %	 19205, 19668, 19692, 20124, 20319, 20631, 21034, 21179, 21272, 21493, 21618, 21694, 21726, 21836, 21967, 21990, 22094, 22144, 22274, 22371, 
